#IPATH,FORGE,SUBDIR,ALTIPATHS,VERSION,TAG,COMMIT,SRCTGZ,DSTTGZ,TYPE
github.com/haproxytech/haproxy-consul-connect,https://github.com/haproxytech/haproxy-consul-connect,,,0.9.0,,,,,command
github.com/criteo/haproxy-spoe-go,https://github.com/criteo/haproxy-spoe-go,,,1.0.6,,,,,package
github.com/facebookgo/freeport,https://github.com/facebookgo/freeport,,,,,d4adf43b75b9357dc7775f033e807a3411591522,,,package
github.com/hashicorp/consul,https://github.com/hashicorp/consul,,,1.9.5,,,,,package
gopkg.in/d4l3k/messagediff.v1,https://github.com/d4l3k/messagediff,,github.com/d4l3k/messagediff,1.2.1,,,,,package
zvelo.io/ttlru,https://github.com/zvelo/ttlru,,github.com/zvelo/ttlru,1.0.10,,,,,package
github.com/coredns/coredns,https://github.com/coredns/coredns,,,1.8.4,,,,,package
github.com/google/tcpproxy,https://github.com/google/tcpproxy,,,,,b6bb9b5b82524122bcf27291ede32d1517a14ab8,,,package
github.com/hashicorp/go-bexpr,https://github.com/hashicorp/go-bexpr,,,0.1.8,,,,,package
github.com/hashicorp/go-connlimit,https://github.com/hashicorp/go-connlimit,,,0.3.0,,,,,package
github.com/hashicorp/go-discover,https://github.com/hashicorp/go-discover,,,,,738cb3105cd00a47802db675221543231671b2a1,,,package
github.com/hashicorp/go-raftchunking,https://github.com/hashicorp/go-raftchunking,,,0.6.2,,,,,package
github.com/hashicorp/raft-autopilot,https://github.com/hashicorp/raft-autopilot,,,0.1.5,,,,,package
github.com/hashicorp/vault/api,https://github.com/hashicorp/vault,,github.com/hashicorp/vault,,api/v1.1.0,fb730b62a40e6cc4fc8e2f0257c673454bca3b86,,,package
github.com/mitchellh/pointerstructure,https://github.com/mitchellh/pointerstructure,,,1.2.0,,,,,package
github.com/rboyer/safeio,https://github.com/rboyer/safeio,,,0.2.1,,,,,package
github.com/hashicorp/vic,https://github.com/hashicorp/vic,,,1.5.0,,,,,package
github.com/joyent/triton-go,https://github.com/joyent/triton-go,,,1.8.5,,,,,package
github.com/nicolai86/scaleway-sdk,https://github.com/nicolai86/scaleway-sdk,,,1.11.1,,,,,package
github.com/packethost/packngo,https://github.com/packethost/packngo,,,0.15.0,,,,,package
github.com/softlayer/softlayer-go,https://github.com/softlayer/softlayer-go,,,1.0.3,,,,,package
github.com/tencentcloud/tencentcloud-sdk-go/tencentcloud/common,https://github.com/tencentcloud/tencentcloud-sdk-go,,github.com/tencentcloud/tencentcloud-sdk-go,1.0.173,,,,,package
github.com/tencentcloud/tencentcloud-sdk-go/tencentcloud/cvm,https://github.com/tencentcloud/tencentcloud-sdk-go,,github.com/tencentcloud/tencentcloud-sdk-go,,,38414569e5aa7f3adb26f43444cfe8cd2465286f,,,package
github.com/apparentlymart/go-cidr,https://github.com/apparentlymart/go-cidr,,,1.1.0,,,,,package
github.com/coredns/caddy,https://github.com/coredns/caddy,,,1.1.1,,,,,package
github.com/dnstap/golang-dnstap,https://github.com/dnstap/golang-dnstap,,,0.4.0,,,,,package
github.com/farsightsec/golang-framestream,https://github.com/farsightsec/golang-framestream,,,0.3.0,,,,,package
github.com/infobloxopen/go-trees,https://github.com/infobloxopen/go-trees,,,,,96a057b8dfb9e64b6d71bbc262f20b6060d34ea0,,,package
go.etcd.io/etcd/api/v3,https://github.com/etcd-io/etcd,,github.com/etcd-io/etcd,,api/v3.5.0-beta.4,68fa42ae07ab6115102c6d107d784657be939fe0,,,package
go.etcd.io/etcd/client/v3,https://github.com/etcd-io/etcd,,github.com/etcd-io/etcd,,client/v3.5.0-beta.4,96f5b0de6b71fb5777b47a56d7c817f26b0c8f4d,,,package
gopkg.in/DataDog/dd-trace-go.v1,https://github.com/DataDog/dd-trace-go,,github.com/DataDog/dd-trace-go,1.31.1,,,,,package
k8s.io/api,https://github.com/kubernetes/api,,github.com/kubernetes/api,0.21.1,,,,,package
github.com/Sectorbob/mlab-ns2,https://github.com/Sectorbob/mlab-ns2,,,,,d3aa0c295a8a0ea732210752d5588e16090c58ef,,,package
github.com/aerospike/aerospike-client-go,https://github.com/aerospike/aerospike-client-go,,,4.5.2,,,,,package
github.com/cenkalti/backoff/v3,https://github.com/cenkalti/backoff,,github.com/cenkalti/backoff,3.2.2,,,,,package
github.com/google/go-metrics-stackdriver,https://github.com/google/go-metrics-stackdriver,,,0.2.0,,,,,package
github.com/hashicorp/consul-template,https://github.com/hashicorp/consul-template,,,0.25.2,,,,,package
github.com/hashicorp/go-kms-wrapping,https://github.com/hashicorp/go-kms-wrapping,,,0.6.2,,,,,package
github.com/hashicorp/go-kms-wrapping/entropy,https://github.com/hashicorp/go-kms-wrapping,,github.com/hashicorp/go-kms-wrapping,,entropy/v0.1.0,5bf905ee4d7d5a98dd57ca2dc7305c9be9087ac3,,,package
github.com/hashicorp/nomad/api,https://github.com/hashicorp/nomad,,github.com/hashicorp/nomad,,,24e963f26c9b41da27d8f7e1c2d7c005d6445d47,,,package
github.com/hashicorp/raft-snapshot,https://github.com/hashicorp/raft-snapshot,,,1.0.3,,,,,package
github.com/influxdata/influxdb,https://github.com/influxdata/influxdb,,,1.9.1,,,,,package
github.com/jefferai/isbadcipher,https://github.com/jefferai/isbadcipher,,,,,51d2077c035ffd4151fc97485fac1c63cf29b86e,,,package
github.com/mongodb/go-client-mongodb-atlas,https://github.com/mongodb/go-client-mongodb-atlas,,,0.3.0,,,,,package
github.com/natefinch/atomic,https://github.com/natefinch/atomic,,,,,18c0533a5b0940dce8ed0747c81dfa2150143815,,,package
github.com/okta/okta-sdk-golang/v2,https://github.com/okta/okta-sdk-golang,,github.com/okta/okta-sdk-golang,2.3.0,,,,,package
github.com/ory/dockertest/v3,https://github.com/ory/dockertest,,github.com/ory/dockertest,3.6.5,,,,,package
github.com/sethvargo/go-limiter,https://github.com/sethvargo/go-limiter,,,0.6.0,,,,,package
layeh.com/radius,https://github.com/layeh/radius,,github.com/layeh/radius,,,838e26d0c9be1b92b9e6e8b8ad0888e9d8e7ec4f,,,package
